question,category,company,question_at
간단한 자기소개,back,마이다스IT,2023
가장 기억에 남는 프로젝트는?,back,마이다스IT,2023
프로젝트를 하면서 가장 중요하다고 생각하는 것은?,back,마이다스IT,2023
프로젝트를 하면서 문제를 느끼고 개선해야겠다고 생각한 것은?,back,마이다스IT,2023
개발 말고 다른 기획이나 그런 거에도 참여해본 적이 있는지?,back,마이다스IT,2023
형상 관리 툴을 사용해본 적이 있는지?(git 등),back,마이다스IT,2023
개발할 때 컨벤션은 정해놓고 하는지? (코딩 스타일 규약),back,마이다스IT,2023
프로젝트를 할 때 일을 어떻게 나누는지?,back,마이다스IT,2023
개발자로서 어떤 것에 관심이 있고 5년 후 어떤 모습이면 좋을 것 같은지?,back,마이다스IT,2023
프리라이더가 있으면 어떻게?,back,마이다스IT,2023
인턴 하면서 무슨 역할?,back,마이다스IT,2023
소마고에 왜 갔는지?,back,마이다스IT,2023
왜 개발자가 되고 싶은지?,back,마이다스IT,2023
우리 회사에 온다면 하고 싶은 일은?,back,마이다스IT,2023
마지막으로 물어보고 싶은 거나 할 말은?,back,마이다스IT,2023
주로 자소서나 포트폴리오를 중점으로 질문하기 때문에 꼭 내용 숙지하기!,bank,신한은행,2023
Q1. 1분 자기소개,bank,신한은행,2023
Q2. 코딩테스트 잘 보셨는지 / 왜 자신이 잘하는 언어가 아닌 파이썬을 사용하셨나요?,bank,신한은행,2023
경험 기반,bank,신한은행,2023
Q1. 인턴에서 어떤 업무를 맡았고 / 어떤 결과를 냈는지 알 수 있을까요?,bank,신한은행,2023
Q2. 프로젝트 경험이 있으신지?,bank,신한은행,2023
포트폴리오 기반,bank,신한은행,2023
Q1. DB에서 알고있는 키가 있으신가요?,bank,신한은행,2023
Q2. 각 키가 어떤 의미있지 알고 계신가요?,bank,신한은행,2023
"Q3. db에서 정규화라는 개념을 알고 있으신지, DB 설계할 때 정규화를 사용해서 해보신 적 있으신가요?",bank,신한은행,2023
"Q4. Chat gpt에서 들어보신적이 있는지, 어떤 db가 중점적으로 사용되나요?",bank,신한은행,2023
Q5. JPA를 주로 사용하였는데 실제 쿼리를 쓰는 것과의 차이가 무엇입니까?,bank,신한은행,2023
Q1. 자신이 원하는 분야가 아닌 은행 서비스가 필요한 업무에 배정된다면 어떻게 할 것인가요?,bank,신한은행,2023
Q2. 신한은행에서 서비스가 중에서 기억에 남았던 기능 / 개선되었으면 하는 부분이 있나요?,bank,신한은행,2023
Q3. 신한은행에서 어떤 서비스를 개발하고 싶나요?,bank,신한은행,2023
Q4. 리더에 가까우신가요 팔로워에 가까우신가요?,bank,신한은행,2023
Q5. 미처 답변하지 못했던 말이나 마지막 할 말 얘기해주세요,bank,신한은행,2023
"한 화면에 두분 계셨고, 압박감은 없었습니다!",bank,신한은행,2023
자기소개,bank,신한은행,2023
-> 자기소개 기반 질문,bank,신한은행,2023
리더인가 팔로워인가,bank,신한은행,2023
다른 사람이 리더를 한다고 할 때 어떤 자세를 취할것인가,bank,신한은행,2023
리더를 못한다면 어떻게 할것인가,bank,신한은행,2023
데이터베이스분야로 가고싶다 했는데 DML과 DDL의 차이를 아는가,bank,신한은행,2023
정보보안쪽으로 관심이 있는가/준비를 했는가,bank,신한은행,2023
이런 프로젝트를 진행했다고 했는데 이때 느낀 것이 있는가?,bank,신한은행,2023
자신있는 언어,bank,신한은행,2023
왜 자신있는가,bank,신한은행,2023
포트폴리오에 기술스택으로 C#과 java를 적었는데 둘의 차이를 아는가,bank,신한은행,2023
코딩테스트 질문,bank,신한은행,2023
어려웠나 -> 4번이 어려웠다고 대답,bank,신한은행,2023
4번이 어려운게 시간이 없어서였는가?,bank,신한은행,2023
1분 자기소개,bank,신한은행,2023
인생에서 실패했던 경험,bank,신한은행,2023
현재 진행하고 있는 프로젝트,bank,신한은행,2023
개발로 인해 다른 부서와 갈등이 생기면 어떻게 할 것인지,bank,신한은행,2023
백엔드 개발 해 본적 있는지,bank,신한은행,2023
사용자 친화적인 서비스를 어떻게 만들 것인지,bank,신한은행,2023
프로젝트 실제로 운영 중인지,bank,신한은행,2023
-> 안하고있는 이유,bank,신한은행,2023
-> 문제만 해결 되면 운영해볼 생각 있는지,bank,신한은행,2023
자기소개와 포트폴리오를 자주 언급하십니다! 이는 숙지할 것!,bank,신한은행,2023
1) 직무에서 하기 싫은 일을 맡아야 할 때도 있는데 프로젝트에서도 그런 적 있나요?,bank,신한은행,2023
1 - 1) 어쩌다 맡게 되셨나요?,bank,신한은행,2023
2) 외주 프로젝트를 진행하면서 애로사항은 무엇이었나요?,bank,신한은행,2023
